RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
102001,0,United States,country,,1306.0853433853208,1311.904693365004,1317.91418263274,1323.2204922753433,1327.809153960368,1332.307675783721,1337.7840672146592,1343.868566039308,1349.6020217103778,1355.616550220903,1361.1525528760417,1366.4221745233046,1370.0528345622465,1373.3558794209628,1375.4873081626783,1380.648455102877,1385.1760547179056,1390.8387156080607,1393.7728940498373,1397.1924411227774,1400.7393005103788,1403.70739021806,1406.3688527683923,1408.4616555777625,1414.7163302023946,1421.1210498021296,1428.8775246863047,1432.678390465925,1437.3334038138537,1441.17115539059,1445.7161505692725,1449.7015777083063,1454.7732644769576,1459.5089123380897,1464.9458327427208,1470.4402038934234,1475.39933701877,1480.5065784047488,1485.0976163485939,1490.299684243385,1494.6464319248098,1499.2747249283307,1504.454068420564,1510.0096354082532,1514.7330237026056,1520.2508893292156,1526.3912573893576,1532.6550490272996,1537.2649222675327,1541.2007169471199,1545.6099438422154,1550.9670435084784,1556.7899590706618,1562.6068984814808,1568.2225989848923,1573.729674928946,1579.3461394255612,1584.6484643553522,1589.2284616586348,1593.8713323124869,1599.3105845257394,1605.251321989431,1610.6553242266737,1607.1423033369488,1601.0684431157185,1595.9441739210238,1595.9024137450594,1595.9185846884588,1597.0566501426565,1601.7161078805307,1609.9740476900588,1618.2496127137606,1626.807696196601,1635.2326228049092,1647.9659666629414,1666.2818554218254,1689.7717868973173,1716.3628141896825,1743.8964917131398,1773.0559948643352,1800.9533935262061,1825.6711257296254,1846.8800649092216,1866.1077575977722,1883.647409724537,1901.6620191916334,1917.2580086495182,1934.245584985292,1949.2664912415246,1964.1314756002182,1975.2736251117205,1983.0250938256065,1987.9778057345122,1995.6070774205905,2003.9074684435448,2013.136288913923,2022.6809543080722,2030.9856906157265,2038.534996152365,2042.5862543492979,2044.8768142246267,2044.4284024142567,2044.303376692416,2044.9428453695125,2047.0956328483717
394913,1,"New York, NY",msa,NY,2506.4272756945843,2523.6450157250997,2536.7162967157287,2548.8933458561996,2552.4842660137906,2558.1840359006387,2564.2908459123723,2573.8558012146823,2581.981207638223,2589.385859508015,2595.749273973652,2601.6932575050987,2606.132997564616,2608.705388743204,2608.761365488091,2611.6476505824826,2615.567640116919,2621.2539359901807,2626.013910613734,2629.52565225779,2632.954633694287,2638.007355634949,2644.739007114518,2645.190799711954,2649.765311112584,2649.395419566894,2656.250880803981,2656.081948146154,2662.65232984786,2665.144655880256,2668.6045177909014,2668.823704158027,2672.7833813561924,2672.567356583958,2674.2871316158635,2677.112336055072,2681.3543005348574,2686.517483272272,2690.801252147424,2699.712842769749,2704.4637097771197,2708.2815373894223,2712.8431177901,2721.426050303594,2728.935058634932,2733.934165166795,2740.7147299883122,2747.3200010530913,2753.87339742363,2760.1354775036452,2765.8932397832555,2771.2531708356914,2776.9336959326474,2785.230458544652,2793.0632684396332,2799.8622930145734,2806.1067883635046,2816.342916660825,2824.3582358642448,2833.655922999391,2841.933327872426,2851.507726602108,,,,,,,,2590.82905790196,2580.7495546376326,2581.8703211137326,2584.3196576443493,2588.624080291898,2601.4931272208296,2621.624396301518,2653.50476366005,2693.837769850736,2745.055513436922,2807.4394796475376,2871.5075797168615,2929.243017399176,2983.0320055023435,3027.926797065218,3067.968479243243,3103.1327202403522,3133.2636270998714,3162.106761806879,3192.8249980299097,3226.0370299311608,3255.6299670970416,3277.371015805815,3287.6411645471185,3300.2209282098897,3308.7277838325012,3318.6962407303326,3332.09626614215,3347.4018249818278,3362.688701721476,3377.081713987076,3384.1429586254394,3384.243410523621,3379.0826923559084,3374.6295388453386,3376.2057000550644
753899,2,"Los Angeles, CA",msa,CA,1933.7578806957022,1943.129979188988,1953.3311354658701,1963.7928546514859,1972.468453678229,1980.8722344407179,1992.4923675765842,2003.9911225555688,2017.110245118724,2029.1006972143332,2042.2068958920117,2056.309469413773,2065.685247205051,2074.94642098527,2079.5212126618057,2087.814400595774,2095.652594837055,2106.320961794948,2114.667545052984,2122.524876413772,2131.2585293820803,2137.6909676897108,2144.335473463677,2148.711512845923,2165.8425822652043,2181.5275370124773,2201.7254887128247,2211.3414603650904,2221.4496795473074,2228.906408968529,2237.072627913703,2244.844478451395,2253.2960211052477,2261.6845620220597,2271.8659883225423,2282.0174166453694,2289.8958997504888,2298.442259388391,2303.6865364895143,2312.341486736802,2319.2361092136493,2328.8328151971587,2338.0278177139226,2348.015556662718,2357.1617411464267,2367.691769380875,2378.0311826537277,2386.9498541469566,2390.9554165831587,2395.315145164117,2401.5482811389757,2409.5666036375524,2418.6977625572486,2426.2759725884353,2433.9551521462618,2441.095164933129,2448.002660900281,2454.163663080491,2459.285787920895,2465.843701199237,2474.593754778281,2482.9285311735425,2478.383256468102,2466.7024912651354,2454.094491300573,2442.4733471816467,2435.881505562212,2428.7009962489224,2428.3447373111003,2434.520530318211,2446.1626038390764,2452.7155582784144,2459.334895780401,2466.145657347025,2478.919412994175,2494.7628980405943,2517.208486176769,2550.5047677083617,2591.646766851393,2639.727165856569,2680.1116236629423,2715.874207228024,2743.445390371585,2773.4255299770307,2801.3799504733297,2829.7543898167723,2855.8784701422064,2883.0127963411746,2910.278456768379,2928.2471176131107,2938.3423451695035,2943.1229352658424,2946.954892689407,2952.4373491416945,2961.328863055727,2970.2355049222797,2979.4752137632395,2988.0851593772,2995.420896816858,3001.0602927957175,3001.617316186951,3001.885681687775,3001.5473319982866,3000.477652052698,3001.423728373069
394463,3,"Chicago, IL",msa,IL,1445.2179502003908,1446.4449526114377,1451.5040392810758,1455.9705340518365,1460.467782285133,1462.1887738999387,1465.321061434054,1469.1662896918708,1472.8131938802956,1478.2677207212541,1484.8764448459824,1491.2978752894694,1494.7892291556661,1495.7012197117654,1496.9006537662592,1498.63227883971,1501.7777850468815,1506.5362924805997,1512.1403162316874,1518.4975870127923,1521.3019336478958,1521.5099459090354,1516.8955958549027,1512.7949582488538,1516.6873998051694,1525.4825728021106,1535.7555568323767,1539.803740615989,1543.46445595745,1544.3884803602853,1545.569885055614,1544.7721907519408,1548.729784091795,1551.7221533073503,1557.16684566399,1562.051851938034,1564.904047226708,1567.6521314761685,1567.9376821249643,1570.563619169129,1573.1898350903025,1577.5773063122188,1581.4760169370518,1583.500415915985,1583.6629451291872,1585.9957902225524,1591.1474450968753,1598.8099301408276,1601.9154524160028,1604.3032563063518,1607.0599028365507,1611.0146158919536,1614.973107367865,1618.694515039486,1622.5825350522855,1628.7681342468643,1634.8410108117055,1640.2255778683275,1643.2304848422475,1644.5431325996499,1648.925322426973,1653.0947096499779,1658.615373066225,1648.7026613957084,1638.2165286017125,1629.1124700820683,1625.7852470918317,1622.5666659400538,1617.7715629942509,1611.7366980160568,1608.6671654443232,1607.1159535267705,1603.8918006778233,1605.3045686263565,1613.5358467371377,1632.462743044974,1651.166008446255,1668.9503835410428,1684.1990437712166,1699.5942538795418,1715.8727473230254,1730.6713839410822,1745.686779024895,1759.8762193978166,1775.4955622506934,1788.9395004014616,1801.8303192334738,1814.088235285579,1825.029499935928,1835.2417884022616,1847.1089563910748,1855.9679631109602,1866.599401910271,1879.1893565439934,1890.720846788556,1902.7998020693663,1913.6520973405725,1924.2366460538283,1932.000015739126,1937.0424743144454,1943.4978909237248,1950.813050054778,1956.8987828374857,1965.0297751398796,1971.3210221108827
394514,4,"Dallas, TX",msa,TX,1168.0487355510436,1172.395878905925,1176.7789073128274,1182.8854253233635,1188.1942048601559,1193.6606635322228,1199.2661077869218,1203.9698981509973,1209.0589861914252,1214.2968531435088,1220.959223427819,1227.471843930801,1230.769155061699,1234.8976842830286,1238.8086462421936,1244.7333198088438,1248.0927284688353,1252.3478091617797,1255.715974526343,1260.6070439089717,1264.630535410019,1268.6011392386433,1272.4807690444502,1276.364223864166,1284.8679851684901,1290.733867711577,1298.8568390489227,1302.6702899920274,1310.6484895715798,1314.1868902625324,1318.5834887075098,1322.0021574897319,1326.8562391744215,1329.98823442225,1335.3897705482118,1340.0129916733686,1345.3939008330906,1350.291851045753,1352.006153134209,1354.8190826918485,1355.8336697934833,1361.312696298516,1365.3369434969559,1369.3913161965156,1371.8971141433997,1378.1349666843291,1383.1989334608284,1389.5727626793266,1392.3803642211622,1395.1015169667714,1400.0009818946644,1405.5898987783344,1410.9429180750128,1414.706000806509,1419.2041295131444,1423.6918596275407,1428.6666129822572,1431.4433526341832,1433.8447882837715,1435.4911631055236,1438.5002054415165,1442.19582668493,1449.9093348803722,1447.6059471489054,1441.5033359752758,1435.8738382938307,1434.8487897421971,1437.3286335677378,1442.9336033387976,1452.6152475238546,1463.40534627307,1474.3076934938883,1480.5677745150258,1486.8318448930086,1495.200605525103,1513.7931861252368,1538.1362768544195,1564.7651188599987,1593.2564042144554,1622.7722458158435,1650.6208527555357,1674.7195872629386,1696.7876292714425,1717.2734187513363,1736.8339316709637,1752.8819173689346,1766.1519099782583,1782.7510187437038,1798.7771883207613,1816.51170009674,1826.2142184686243,1829.095282760485,1827.6307825160268,1830.4129896584666,1834.0006707583543,1838.1015121114629,1843.792903183209,1850.4657276551286,1857.0213016543494,1855.3916555542896,1850.3453250644995,1841.3301775444286,1835.055116598613,1831.172313779353,1829.204295486583
394692,5,"Houston, TX",msa,TX,1277.485947965815,1280.0597707033387,1283.448448220277,1286.7936178684338,1288.4167194927636,1291.8888031043539,1294.8209070866003,1298.5975030526636,1298.9843604621562,1301.1422091854533,1303.9273327134729,1306.831267481882,1307.4846357565493,1305.3680762974284,1305.5854662627942,1304.3841750090667,1302.4205100536767,1299.5049484315289,1298.5793428880493,1298.4297260583078,1295.4579336553902,1289.6202245767117,1282.7269907482048,1279.0300902503127,1286.5832614809647,1296.684999449193,1307.328546307274,1307.1483886697338,1311.1374889769536,1310.6566327389653,1313.3185352920436,1313.0979425767534,1325.0621089732551,1337.1605592823505,1350.4342793194005,1358.6763540751401,1360.1013383589632,1362.5500891544748,1359.0361082140414,1363.4609179306883,1362.061391306743,1366.0966197614227,1367.197495276119,1371.2443542791511,1371.2246567387856,1372.4887139304628,1374.9916717925669,1375.6430572076088,1377.0081052356243,1374.5644541365875,1378.2131437285027,1381.4781943549376,1387.3538270008066,1391.384270760249,1395.7248162931342,1399.069121904684,1400.2354286828145,1401.0902314856496,1400.8724335313457,1404.1343860798695,1408.121684712826,1414.2679220248758,1421.70398630104,1417.3128358940755,1407.0095088869614,1396.908473035847,1396.2195613173656,1398.8303758933741,1403.449950190251,1409.619127896888,1416.5830289277028,1421.206685597801,1422.5219011258478,1419.9728072573866,1424.2058409133979,1435.9974716903944,1456.342889608108,1479.011963286432,1500.540712131181,1521.9408285862369,1539.894183265911,1554.215005614401,1565.2525043900582,1575.7136341038467,1585.1525791724107,1596.273353255176,1604.2474813665572,1614.5722114080634,1620.8766319727947,1627.8749957935172,1632.6984970103392,1636.8321090088384,1637.6580756432827,1641.5410821116438,1647.4641345982252,1653.913681672091,1662.3949940476946,1670.3219110954226,1677.263160683052,1679.5309408401972,1680.894409690705,1680.117342921012,1679.2069447497963,1677.8428381274582,1679.8239812815611
395209,6,"Washington, DC",msa,VA,1804.982086777061,1808.5868403785855,1814.564791347707,1815.454919258845,1818.4172637783188,1818.5460264830115,1819.7116932997703,1820.118213632255,1824.4668265651296,1831.1277792560152,1838.2055312638095,1842.7029795083401,1842.7787647313394,1842.521413890427,1841.6108727706987,1843.9052552512394,1847.65984071583,1850.9121735472136,1853.6038331890877,1857.1322309886234,1859.4490502746473,1859.5095644375124,1859.5332832146203,1859.9719753513232,1865.62554331248,1874.5564559195302,1883.3500091642272,1888.3757285630998,1888.051342273401,1890.6612917864788,1892.6162759799179,1895.1867354926571,1898.9284865332622,1903.1665840966332,1905.4695936060973,1907.7340487312695,1910.3009339889936,1912.5674870566772,1917.3779706803496,1921.9134706193397,1927.773644649584,1931.798511184341,1936.468758477672,1942.4174049559927,1944.2286218994436,1949.9065261213705,1958.9354638419236,1968.3366450514102,1971.57426314352,1974.1812155397686,1976.4033028082554,1980.316241170978,1985.6033117477962,1991.1838065900592,1996.7552990603572,2000.9372794138549,2007.9371899355622,2012.1124295467166,2014.6849547865284,2017.028525470581,2023.1457767137542,2029.3204099992086,2039.4252449594055,2031.814300806803,2020.2794797200002,2004.7410969975847,1994.5920540888276,1987.698513130406,1980.768137302612,1976.9027552979164,1972.366082885657,1967.639730573673,1967.6638903499133,1970.8600568855184,1977.0144366336385,1988.5082407379884,2008.172848932657,2036.2452524983128,2064.28941507113,2091.8171850095414,2115.3868247530977,2140.364635731009,2160.2381190446235,2178.2287553021024,2189.2460859317744,2200.114273359598,2212.2583491346695,2227.1417495977457,2240.6382380307255,2251.3112153250786,2261.3109501896724,2264.9113173841743,2266.8598963352424,2270.9371380082243,2279.3461433379293,2288.780778594337,2300.4808720243414,2310.90166802006,2318.8859322799017,2323.583630340553,2325.335886500995,2325.2615964617444,2324.381232183146,2327.7497889972983,2333.930032882881
394974,7,"Philadelphia, PA",msa,PA,1304.7521846281634,1307.6585785521565,1313.912842648189,1316.7892072896636,1320.383900574525,1320.593245270065,1323.8626888437507,1326.7046525283927,1330.6944418080127,1335.5150834916035,1335.7045383987054,1335.4165738570684,1333.8275783369586,1340.4664989872385,1344.0114147603365,1350.1295239727397,1353.133296148755,1359.1846929484414,1361.975615630254,1364.2424879820708,1364.680776850154,1364.2013511517096,1371.0579663812277,1374.6206935406299,1381.2850231869315,1380.355588492477,1384.9533138240301,1386.5326537335884,1389.1055200885328,1388.8708729907107,1391.738150348105,1396.1844878607562,1402.0773973848632,1406.2345196425438,1407.5633719428545,1413.3071499075627,1416.3775174226398,1421.291086173798,1422.8388392780314,1426.5457883728538,1431.7082242022116,1434.891615510736,1438.1893349244258,1441.346847229364,1446.07280951453,1452.2604079128237,1458.0773384102165,1460.3021878645777,1464.548908163459,1467.891392261749,1473.1248822233451,1477.8340445589436,1481.6682420975317,1487.995785726332,1493.3811311918314,1498.3074363264068,1501.7462563394042,1505.1730974599868,1509.0514902161626,1514.3471790561925,1518.970946705982,1524.825659146931,1529.98318482564,1528.4292372893249,1524.285486391792,1521.7227536526618,1524.5787701733418,1525.3006571509104,1528.492501105906,1534.427097258333,1542.816080929338,1548.62200463477,1550.7062529906743,1554.0592181091715,1560.0482482799737,1574.6811023028836,1592.1858644125025,1609.9706277106939,1625.3076148248394,1643.6849698360802,1659.7551954087985,1676.6536739137277,1688.788344868748,1705.6411826608648,1720.1600413665142,1734.619575672673,1743.762889292468,1753.6206301400587,1761.95244202528,1772.5380933244217,1780.599091731098,1784.8116821363828,1787.355514017861,1790.7211579601487,1796.4571129021829,1799.196361527358,1805.6623178232019,1810.6154751999,1818.516162519443,1822.22251890546,1825.7763338422521,1826.6223374473373,1829.1815573241054,1833.1867995341279,1838.795009243825
394856,8,"Miami, FL",msa,FL,1556.4182360942384,1566.556486118159,1574.4615325880122,1582.3691185461907,1590.0398834938057,1597.7000676163245,1604.850914221465,1611.602354837462,1620.2559246393819,1627.940186641594,1636.914167796832,1643.5907246524118,1649.8399529108772,1653.2292747040174,1656.100143249146,1658.899989449083,1659.7550876434887,1659.8144451109363,1659.7542940594967,1661.8990761911216,1664.702980918263,1665.603935109157,1668.712717974205,1669.1079840506045,1675.0057479889415,1678.8561050253497,1687.4224938545094,1690.2887719205403,1693.563922422125,1697.417167325612,1702.9206253626212,1708.4106644003623,1712.577312047143,1716.9084630170155,1717.8984587631053,1720.770835655983,1724.5095690967,1730.5601278589709,1735.568444879391,1740.945875729761,1746.1185259485683,1751.7253499430797,1757.295257400793,1762.7900730605093,1767.2307716631756,1770.7752998773003,1775.343349485691,1781.004015542407,1784.4918807480917,1787.3279705682546,1789.0246159031697,1793.5004788370393,1798.5626668469479,1803.359343957465,1807.6092279514119,1811.670235869528,1817.2154282275674,1823.989415811762,1831.3607300018436,1837.8449100996365,1844.7689731311655,1851.9086880256602,1854.5069195082174,1851.0967355436221,1843.511385896107,1839.8189165012052,1839.3964994287685,1841.8365710408455,1846.8694177159314,1860.9072939574942,1879.4426991211787,1896.9049245547078,1917.2250746231591,1944.0384539740255,1974.1422150667802,2009.2560071862201,2053.5934420715107,,2178.024304975679,2245.486755856902,2306.2946698048986,2358.9556468876003,2406.384428802796,2458.749904166027,2512.4424954987794,2556.5484194818932,2602.2066862008387,2642.1784362874337,2680.1899130483025,2698.81281561591,2711.7309816555467,2716.2579640425056,2724.00204094633,2736.4478276875097,2750.48855856912,2760.3185145029174,2766.828879727928,2775.4216553081756,2779.8342823634443,2785.1499821462203,2785.1795315480294,2788.9711916482843,2788.9512433718246,2792.392628917572,2794.5030826743023
394347,9,"Atlanta, GA",msa,GA,1091.478422052272,1096.8319776928909,1099.1874850760153,1106.2568658370824,1110.2509971274717,1117.9540294164779,1123.0682850687695,1128.7492224233727,1134.5552393690143,1139.2158027179532,1143.8251638372296,1148.9121443454706,1154.9752708758833,1161.182606480571,1167.2609319230244,1171.6813965919337,1176.4718405915714,1180.4532948546096,1186.2688715648878,1192.386311444666,1198.2891056097244,1203.401463798433,1207.8453199357186,1212.9510770583452,1219.032165898921,1226.5174516380196,1234.3387848127813,1241.070652532096,1248.4783663711837,1255.6951436941126,1263.9326133383595,1270.139115323985,1276.3212828634241,1280.2858385641518,1286.5573803596772,1291.7536954818008,1299.379078769059,1304.7568295063334,1311.4117269228366,1318.711514822919,1326.8104388079432,1333.5123388029326,1339.0091017522955,1344.1792688176483,1349.5403735202203,1360.5553512488475,1370.945458446174,1380.1792214736286,1386.313235810093,1392.1332470951027,1398.1779998588738,1404.449677088122,1409.7414300158694,1416.2703385732982,1422.8470429286315,1430.5574736553326,1438.032396215221,1442.2032107532127,1445.640659611927,1450.2364572830697,1455.5587919986647,1461.8084959507637,1469.2078201797046,1470.5946041991967,1470.0681526596313,1470.9338668131759,1479.017454848293,1487.9628519379157,1499.4696046873662,1512.5736402138834,1528.7693385185378,1543.691983580259,1559.9991307404273,1577.4094899584347,1596.3767087179278,1620.0041500078646,1647.932905311484,1684.0728256485095,1719.2081331402944,1757.9215334467183,1788.0469142060329,1817.7033639190518,1837.6465969924075,1852.13903104948,1865.6276667903412,1876.3397923537987,1891.6878462301916,1902.2801244514744,1916.6976733168376,1930.0205899000694,1943.0965209944525,1947.3143655463482,1948.2863271934464,1951.398063993132,1959.419896797662,1970.7137743313433,1979.8761774276259,1988.4462863036845,1991.4194949420073,1994.4899709670615,1990.6523777243697,1980.954583359169,1968.6853861507984,1959.3817454558018,1954.523354134443
